,체결시간,현재가,거래량,시가,고가,저가
0,20221222153031,90500,2623,90500,90500,90500
1,20221222151941,90300,2,90300,90300,90300
2,20221222151930,90400,7,90400,90400,90400
3,20221222151911,90300,1,90300,90300,90300
4,20221222151832,90400,1,90400,90400,90400
5,20221222151830,90400,1,90400,90400,90400
6,20221222151810,90600,8,90600,90600,90600
7,20221222151808,90600,2,90600,90600,90600
8,20221222151800,90500,1,90500,90500,90500
9,20221222151757,90500,1,90500,90500,90500
10,20221222151757,90400,1,90400,90400,90400
11,20221222151748,90600,2,90600,90600,90600
12,20221222151746,90600,2,90600,90600,90600
13,20221222151746,90600,1,90600,90600,90600
14,20221222151746,90600,1,90600,90600,90600
15,20221222151742,90600,3,90600,90600,90600
16,20221222151740,90600,1,90600,90600,90600
17,20221222151740,90600,1,90600,90600,90600
18,20221222151731,90600,1,90600,90600,90600
19,20221222151730,90600,1,90600,90600,90600
20,20221222151701,90300,6,90300,90300,90300
21,20221222151701,90700,1,90700,90700,90700
22,20221222151701,90700,1,90700,90700,90700
23,20221222151701,90700,3,90700,90700,90700
24,20221222151700,90700,21,90700,90700,90700
25,20221222151700,90700,1,90700,90700,90700
26,20221222151700,90700,1,90700,90700,90700
27,20221222151656,90400,5,90400,90400,90400
28,20221222151655,90400,7,90400,90400,90400
29,20221222151654,90500,9,90500,90500,90500
30,20221222151654,90500,23,90500,90500,90500
31,20221222151654,90500,112,90500,90500,90500
32,20221222151652,90500,6,90500,90500,90500
33,20221222151652,90800,1,90800,90800,90800
34,20221222151650,90500,8,90500,90500,90500
35,20221222151649,90500,57,90500,90500,90500
36,20221222151644,90500,31,90500,90500,90500
37,20221222151643,90700,529,90700,90700,90700
38,20221222151643,90700,100,90700,90700,90700
39,20221222151641,90700,6,90700,90700,90700
40,20221222151640,90800,1,90800,90800,90800
41,20221222151640,90700,10,90700,90700,90700
42,20221222151636,90800,4,90800,90800,90800
43,20221222151623,90700,2,90700,90700,90700
44,20221222151622,90800,2,90800,90800,90800
45,20221222151614,90800,5,90800,90800,90800
46,20221222151614,90800,4,90800,90800,90800
47,20221222151614,90700,3,90700,90700,90700
48,20221222151609,90700,7,90700,90700,90700
49,20221222151608,90700,13,90700,90700,90700
50,20221222151607,90800,88,90800,90800,90800
51,20221222151607,90800,48,90800,90800,90800
52,20221222151602,90700,6,90700,90700,90700
53,20221222151601,90800,4,90800,90800,90800
54,20221222151601,90800,1,90800,90800,90800
55,20221222151600,90700,2,90700,90700,90700
56,20221222151600,90700,1,90700,90700,90700
57,20221222151553,90700,3,90700,90700,90700
58,20221222151551,90700,5,90700,90700,90700
59,20221222151542,90800,9,90800,90800,90800
