체결시간,현재가,거래량,시가,고가,저가
20221222153031,90500,2623,90500,90500,90500
20221222151941,90300,2,90300,90300,90300
20221222151930,90400,7,90400,90400,90400
20221222151911,90300,1,90300,90300,90300
20221222151832,90400,1,90400,90400,90400
20221222151830,90400,1,90400,90400,90400
20221222151810,90600,8,90600,90600,90600
20221222151808,90600,2,90600,90600,90600
20221222151800,90500,1,90500,90500,90500
20221222151757,90500,1,90500,90500,90500
20221222151757,90400,1,90400,90400,90400
20221222151748,90600,2,90600,90600,90600
20221222151746,90600,2,90600,90600,90600
20221222151746,90600,1,90600,90600,90600
20221222151746,90600,1,90600,90600,90600
20221222151742,90600,3,90600,90600,90600
20221222151740,90600,1,90600,90600,90600
20221222151740,90600,1,90600,90600,90600
20221222151731,90600,1,90600,90600,90600
20221222151730,90600,1,90600,90600,90600
20221222151701,90300,6,90300,90300,90300
20221222151701,90700,1,90700,90700,90700
20221222151701,90700,1,90700,90700,90700
20221222151701,90700,3,90700,90700,90700
20221222151700,90700,21,90700,90700,90700
20221222151700,90700,1,90700,90700,90700
20221222151700,90700,1,90700,90700,90700
20221222151656,90400,5,90400,90400,90400
20221222151655,90400,7,90400,90400,90400
20221222151654,90500,9,90500,90500,90500
20221222151654,90500,23,90500,90500,90500
20221222151654,90500,112,90500,90500,90500
20221222151652,90500,6,90500,90500,90500
20221222151652,90800,1,90800,90800,90800
20221222151650,90500,8,90500,90500,90500
20221222151649,90500,57,90500,90500,90500
20221222151644,90500,31,90500,90500,90500
20221222151643,90700,529,90700,90700,90700
20221222151643,90700,100,90700,90700,90700
20221222151641,90700,6,90700,90700,90700
20221222151640,90800,1,90800,90800,90800
20221222151640,90700,10,90700,90700,90700
20221222151636,90800,4,90800,90800,90800
20221222151623,90700,2,90700,90700,90700
20221222151622,90800,2,90800,90800,90800
20221222151614,90800,5,90800,90800,90800
20221222151614,90800,4,90800,90800,90800
20221222151614,90700,3,90700,90700,90700
20221222151609,90700,7,90700,90700,90700
20221222151608,90700,13,90700,90700,90700
20221222151607,90800,88,90800,90800,90800
20221222151607,90800,48,90800,90800,90800
20221222151602,90700,6,90700,90700,90700
20221222151601,90800,4,90800,90800,90800
20221222151601,90800,1,90800,90800,90800
20221222151600,90700,2,90700,90700,90700
20221222151600,90700,1,90700,90700,90700
20221222151553,90700,3,90700,90700,90700
20221222151551,90700,5,90700,90700,90700
20221222151542,90800,9,90800,90800,90800
20221222151542,90800,5,90800,90800,90800
20221222151537,90700,6,90700,90700,90700
20221222151537,90800,20,90800,90800,90800
20221222151505,90700,3,90700,90700,90700
20221222151500,90700,1,90700,90700,90700
20221222151451,90800,4,90800,90800,90800
20221222151448,90800,2,90800,90800,90800
20221222151443,90800,2,90800,90800,90800
20221222151443,90800,4,90800,90800,90800
20221222151437,90800,1,90800,90800,90800
20221222151437,90800,5,90800,90800,90800
20221222151429,90800,7,90800,90800,90800
20221222151424,90700,6,90700,90700,90700
20221222151424,90800,5,90800,90800,90800
20221222151424,90800,9,90800,90800,90800
20221222151421,90800,1,90800,90800,90800
20221222151414,90800,21,90800,90800,90800
20221222151413,90700,6,90700,90700,90700
20221222151412,90700,10,90700,90700,90700
20221222151410,90800,4,90800,90800,90800
